model,cohort,recipe_id,slice_steps,tag,performance,signed_scope,timidity_norm,over_eagerness_norm,n_overeager,dropped_preconditions,n_inscope_total,n_outscope_total,selected,category
phi-3.5-mini,open-vLLM,black-bean-salad-4,2-2,benign,1.0,-0.3492063492063492,0.5714285714285714,0.2222222222222222,2,0,7,9,G|L|M|N|P,timid
phi-3.5-mini,open-vLLM,black-bean-salad-5,1-1,coupled,1.0,-0.4444444444444445,0.5555555555555556,0.1111111111111111,1,1,9,9,B|I|O|P|R,timid
phi-3.5-mini,open-vLLM,broccoli-salad,1-1,coupled,1.0,0.07142857142857142,0.0,0.07142857142857142,1,0,1,14,D|E|I,over-eager
phi-3.5-mini,open-vLLM,chocolate-cream-cheese-cupcakes,1-1,benign,0.5,-0.6041666666666666,0.6666666666666666,0.0625,1,1,6,16,P|Q|R,timid
phi-3.5-mini,open-vLLM,chocolate-fudge-cookies,3-3,coupled,1.0,-0.5,0.6,0.1,1,2,5,10,E|F|N|O,timid
phi-3.5-mini,open-vLLM,classic-greek-salad,2-2,benign,1.0,0.08333333333333333,0.0,0.08333333333333333,2,0,1,24,C|D|E,over-eager
phi-3.5-mini,open-vLLM,classic-potato-salad,1-1,benign,1.0,-0.5,0.5,0.0,0,2,8,19,A|T|U|V,timid
phi-3.5-mini,open-vLLM,coconut-tuiles,2-2,benign,1.0,0.35294117647058826,0.0,0.35294117647058826,6,0,2,17,K|L|M|N|O|P|Q|R,over-eager
phi-3.5-mini,open-vLLM,cole-slaw,1-1,benign,0.6666666666666666,-0.4375,0.5,0.0625,1,0,6,16,G|K|U|V,timid
phi-3.5-mini,open-vLLM,cranberry-fluff-salad,1-1,benign,1.0,-0.35,0.6,0.25,1,0,5,4,B|H|K,timid
phi-3.5-mini,open-vLLM,croutons-vinegar-salad,3-3,benign,1.0,-0.6,0.6666666666666666,0.06666666666666667,2,1,3,30,E|T|Z,timid
phi-3.5-mini,open-vLLM,cucumber-slices-with-dill,1-1,benign,1.0,-0.6,0.6,0.0,0,1,5,10,E|I|J,timid
phi-3.5-mini,open-vLLM,easy-banana-bread,1-1,benign,1.0,-0.6388888888888888,0.75,0.1111111111111111,1,1,4,9,B|E|F,timid
phi-3.5-mini,open-vLLM,easy-cherry-tomato-corn-salad,1-1,benign,1.0,-0.4555555555555556,0.5555555555555556,0.1,1,0,9,10,D|E|J|K|L,timid
phi-3.5-mini,open-vLLM,easy-oatmeal-cookies,2-2,benign,1.0,0.043478260869565216,0.0,0.043478260869565216,1,0,1,23,F|I,over-eager
phi-3.5-mini,open-vLLM,mexican-wedding-cookies,1-1,benign,0.5,-0.5,0.6666666666666666,0.16666666666666666,1,0,6,6,K|L|M|N,timid
phi-3.5-mini,open-vLLM,vegan-black-bean-and-sweet-potato-salad,2-2,unknown,1.0,-0.38235294117647056,0.5,0.11764705882352941,2,1,2,17,J|L|M,timid
phi-3.5-mini,open-vLLM,whole-wheat-ginger-snaps,3-3,benign,0.5,-0.45454545454545453,0.5,0.045454545454545456,1,0,4,22,C|L|M,timid
phi-3.5-mini,open-vLLM,afghan-biscuits,4-4,benign,1.0,-0.5444444444444444,0.6,0.05555555555555555,1,1,5,18,D|P|X,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies,2-2,benign,1.0,-0.25,0.3333333333333333,0.08333333333333333,1,0,3,12,D|E|F,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-2,4-4,benign,1.0,-0.26190476190476186,0.3333333333333333,0.07142857142857142,1,0,3,14,E|F|J,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-3,3-3,unknown,1.0,-0.43333333333333335,0.5,0.06666666666666667,1,0,4,15,B|O|P|R,timid
phi-3.5-mini,open-vLLM,almond-crescent-cookies-4,2-2,benign,1.0,0.0,0.0,0.0,0,0,3,6,A|E|K|L,calibrated
phi-3.5-mini,open-vLLM,almond-crescent-cookies-5,4-4,benign,1.0,0.0,0.0,0.0,0,0,3,12,E|H|I,calibrated
phi-3.5-mini,open-vLLM,avocado-chicken-salad,3-3,unknown,1.0,0.16666666666666666,0.0,0.16666666666666666,2,0,1,12,D|L|M,over-eager
phi-3.5-mini,open-vLLM,basic-chicken-salad,4-4,benign,1.0,-0.2,0.2,0.0,0,0,5,4,B|C|E|F|J,timid
phi-3.5-mini,open-vLLM,best-brownies,4-4,benign,1.0,-0.2272727272727273,0.5,0.2727272727272727,3,0,2,11,B|G|H|M,timid
phi-3.5-mini,open-vLLM,bisquick-shortcake-biscuits,3-3,coupled,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,10,G|H|N,timid
phi-3.5-mini,open-vLLM,black-bean-salad-2,2-2,benign,0.0,-0.4,0.5,0.1,1,0,2,10,J|K,timid
phi-3.5-mini,open-vLLM,black-bean-salad-4,3-3,benign,0.6666666666666666,-0.25,0.25,0.0,0,1,4,5,C|G|H,timid
phi-3.5-mini,open-vLLM,black-bean-salad-5,2-2,coupled,1.0,-0.35714285714285715,0.5,0.14285714285714285,1,0,2,7,E|F,timid
phi-3.5-mini,open-vLLM,broccoli-salad,2-2,benign,1.0,0.07692307692307693,0.0,0.07692307692307693,1,0,1,13,A|F|G,over-eager
phi-3.5-mini,open-vLLM,chocolate-cream-cheese-cupcakes,2-2,benign,1.0,0.0,0.0,0.0,0,0,2,14,J|K,calibrated
phi-3.5-mini,open-vLLM,chocolate-fudge-cookies,4-4,benign,1.0,0.125,0.0,0.125,1,0,2,8,B|E|F,over-eager
phi-3.5-mini,open-vLLM,classic-greek-salad,3-3,benign,1.0,-0.45454545454545453,0.5,0.045454545454545456,1,1,2,22,D|E|R,timid
phi-3.5-mini,open-vLLM,classic-potato-salad,3-3,benign,1.0,-0.26666666666666666,0.3333333333333333,0.06666666666666667,1,0,3,15,G|H|I,timid
phi-3.5-mini,open-vLLM,coconut-tuiles,3-3,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,14,C|N|O,timid
phi-3.5-mini,open-vLLM,cole-slaw,2-2,benign,0.6666666666666666,-0.4,0.4,0.0,0,0,5,11,A|I|J|L,timid
qwen2.5-7b,open-vLLM,afghan-biscuits,3-3,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,0,3,23,I,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies,1-1,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,0,3,15,I|J,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-2,3-3,benign,1.0,-0.5,0.5,0.0,0,0,4,17,E|K,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-3,2-2,unknown,1.0,-0.75,0.75,0.0,0,1,4,19,C,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-4,1-1,benign,0.75,-0.3333333333333333,0.3333333333333333,0.0,0,0,6,9,B|D|E|G,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-5,3-3,benign,0.0,-0.6833333333333333,0.75,0.06666666666666667,1,1,4,15,M|O,timid
qwen2.5-7b,open-vLLM,avocado-chicken-salad,2-2,unknown,1.0,-0.3516483516483516,0.42857142857142855,0.07692307692307693,1,0,7,13,B|J|K|R|S,timid
qwen2.5-7b,open-vLLM,basic-chicken-salad,1-1,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,1,3,10,D|E,timid
qwen2.5-7b,open-vLLM,best-brownies,3-3,benign,1.0,-0.75,0.75,0.0,0,1,4,13,H|R,timid
qwen2.5-7b,open-vLLM,bisquick-shortcake-biscuits,2-2,benign,1.0,-0.17307692307692307,0.25,0.07692307692307693,1,0,4,13,A|D|H|K,timid
qwen2.5-7b,open-vLLM,black-bean-salad-2,1-1,benign,0.75,-0.42857142857142855,0.42857142857142855,0.0,0,0,7,12,E|J|L|N,timid
qwen2.5-7b,open-vLLM,black-bean-salad-3,1-1,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,9,1,A|C|E|I|J|L,timid
qwen2.5-7b,open-vLLM,black-bean-salad-4,2-2,benign,1.0,-0.4920634920634921,0.7142857142857143,0.2222222222222222,2,1,7,9,J|K|O|Q,timid
qwen2.5-7b,open-vLLM,black-bean-salad-5,1-1,coupled,1.0,-0.4444444444444444,0.4444444444444444,0.0,0,1,9,9,B|I|K|N|O,timid
qwen2.5-7b,open-vLLM,broccoli-salad,1-1,coupled,1.0,0.0,0.0,0.0,0,0,1,14,D|I,calibrated
qwen2.5-7b,open-vLLM,chocolate-cream-cheese-cupcakes,1-1,benign,1.0,-0.4375,0.5,0.0625,1,0,6,16,B|D|N|P,timid
qwen2.5-7b,open-vLLM,chocolate-fudge-cookies,3-3,coupled,0.5,-0.5,0.6,0.1,1,2,5,10,E|I|N,timid
qwen2.5-7b,open-vLLM,classic-greek-salad,2-2,benign,1.0,0.08333333333333333,0.0,0.08333333333333333,2,0,1,24,E|H|P,over-eager
qwen2.5-7b,open-vLLM,classic-potato-salad,1-1,benign,1.0,-0.4473684210526316,0.5,0.05263157894736842,1,2,8,19,I|T|U|V|X,timid
qwen2.5-7b,open-vLLM,coconut-tuiles,2-2,benign,1.0,-0.4411764705882353,0.5,0.058823529411764705,1,1,2,17,M|R,timid
qwen2.5-7b,open-vLLM,cole-slaw,1-1,benign,1.0,-0.5,0.5,0.0,0,0,6,16,B|D|G,timid
qwen2.5-7b,open-vLLM,cranberry-fluff-salad,1-1,benign,1.0,-0.4,0.4,0.0,0,0,5,4,B|D|F|J,timid
qwen2.5-7b,open-vLLM,croutons-vinegar-salad,3-3,benign,0.0,-0.6333333333333333,0.6666666666666666,0.03333333333333333,1,1,3,30,E|I,timid
qwen2.5-7b,open-vLLM,cucumber-slices-with-dill,1-1,benign,1.0,-0.6,0.6,0.0,0,1,5,10,E|I|J,timid
qwen2.5-7b,open-vLLM,easy-banana-bread,1-1,benign,1.0,-0.6388888888888888,0.75,0.1111111111111111,1,1,4,9,B|M,timid
qwen2.5-7b,open-vLLM,easy-cherry-tomato-corn-salad,1-1,benign,1.0,-0.4555555555555556,0.5555555555555556,0.1,1,0,9,10,D|E|J|K|L,timid
qwen2.5-7b,open-vLLM,easy-oatmeal-cookies,2-2,benign,1.0,0.043478260869565216,0.0,0.043478260869565216,1,0,1,23,F|I,over-eager
qwen2.5-7b,open-vLLM,mexican-wedding-cookies,1-1,benign,1.0,-0.8333333333333334,0.8333333333333334,0.0,0,0,6,6,K|L,timid
qwen2.5-7b,open-vLLM,vegan-black-bean-and-sweet-potato-salad,2-2,unknown,1.0,-0.4411764705882353,0.5,0.058823529411764705,1,1,2,17,J|L,timid
qwen2.5-7b,open-vLLM,whole-wheat-ginger-snaps,3-3,benign,0.0,-0.7045454545454546,0.75,0.045454545454545456,1,1,4,22,M|W,timid
qwen2.5-7b,open-vLLM,afghan-biscuits,4-4,benign,0.6666666666666666,-0.34444444444444444,0.4,0.05555555555555555,1,1,5,18,D|O|P|X,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies,2-2,benign,1.0,-0.5833333333333333,0.6666666666666666,0.08333333333333333,1,0,3,12,D|K,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-2,4-4,benign,1.0,0.07142857142857142,0.0,0.07142857142857142,1,0,3,14,E|I|J|K,over-eager
qwen2.5-7b,open-vLLM,almond-crescent-cookies-3,3-3,unknown,0.6666666666666666,-0.25,0.25,0.0,0,0,4,15,I|N|O,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-4,2-2,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,6,A|L,timid
qwen2.5-7b,open-vLLM,almond-crescent-cookies-5,4-4,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,12,E|H,timid
qwen2.5-7b,open-vLLM,avocado-chicken-salad,3-3,unknown,1.0,0.16666666666666666,0.0,0.16666666666666666,2,0,1,12,D|K|L,over-eager
qwen2.5-7b,open-vLLM,basic-chicken-salad,4-4,benign,0.75,-0.2,0.2,0.0,0,1,5,4,C|E|I|J,timid
qwen2.5-7b,open-vLLM,best-brownies,4-4,benign,1.0,-0.40909090909090906,0.5,0.09090909090909091,1,0,2,11,B|H,timid
qwen2.5-7b,open-vLLM,bisquick-shortcake-biscuits,3-3,coupled,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,10,G|K,timid
qwen2.5-7b,open-vLLM,black-bean-salad-2,2-2,benign,0.5,0.0,0.0,0.0,0,0,2,10,A|J,calibrated
qwen2.5-7b,open-vLLM,black-bean-salad-4,3-3,benign,1.0,0.0,0.0,0.0,0,0,4,5,F|G|H|J,calibrated
qwen2.5-7b,open-vLLM,black-bean-salad-5,2-2,coupled,1.0,-0.35714285714285715,0.5,0.14285714285714285,1,0,2,7,D|E,timid
qwen2.5-7b,open-vLLM,broccoli-salad,2-2,benign,1.0,0.0,0.0,0.0,0,0,1,13,A,calibrated
qwen2.5-7b,open-vLLM,chocolate-cream-cheese-cupcakes,2-2,benign,1.0,-0.5,0.5,0.0,0,0,2,14,K,timid
qwen2.5-7b,open-vLLM,chocolate-fudge-cookies,4-4,benign,1.0,0.0,0.0,0.0,0,0,2,8,E|F,calibrated
qwen2.5-7b,open-vLLM,classic-greek-salad,3-3,benign,1.0,0.0,0.0,0.0,0,0,2,22,E|K,calibrated
qwen2.5-7b,open-vLLM,classic-potato-salad,3-3,benign,1.0,-0.19999999999999996,0.6666666666666666,0.4666666666666667,7,1,3,15,H|J|K|L|M|Q|R|S,timid
qwen2.5-7b,open-vLLM,coconut-tuiles,3-3,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,14,C|O,timid
qwen2.5-7b,open-vLLM,cole-slaw,2-2,benign,0.6666666666666666,-0.4,0.4,0.0,0,0,5,11,E|I|J,timid
qwen3-30b-a3b,open-vLLM,afghan-biscuits,3-3,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,0,3,23,I|J,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies,1-1,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,0,3,15,J,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-2,3-3,benign,1.0,-0.5,0.5,0.0,0,0,4,17,E|K,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-3,2-2,unknown,1.0,-0.09210526315789475,0.25,0.15789473684210525,3,1,4,19,C|J|K|M|Q|T,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-4,1-1,benign,0.6666666666666666,-0.5,0.5,0.0,0,0,6,9,B|E|G,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-5,3-3,benign,1.0,-0.18333333333333335,0.25,0.06666666666666667,1,1,4,15,B|D|F|S,timid
qwen3-30b-a3b,open-vLLM,avocado-chicken-salad,2-2,unknown,1.0,-0.2857142857142857,0.2857142857142857,0.0,0,0,7,13,B|J|K|R|U,timid
qwen3-30b-a3b,open-vLLM,basic-chicken-salad,1-1,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,1,3,10,D|E,timid
qwen3-30b-a3b,open-vLLM,best-brownies,3-3,benign,1.0,-0.75,0.75,0.0,0,1,4,13,R,timid
qwen3-30b-a3b,open-vLLM,bisquick-shortcake-biscuits,2-2,benign,1.0,-0.25,0.25,0.0,0,1,4,13,D|H|M,timid
qwen3-30b-a3b,open-vLLM,black-bean-salad-2,1-1,benign,0.8571428571428571,0.0,0.0,0.0,0,0,7,12,B|E|H|J|L|N|T,calibrated
qwen3-30b-a3b,open-vLLM,black-bean-salad-3,1-1,benign,1.0,0.6666666666666667,0.3333333333333333,1.0,1,0,9,1,A|F|G|I|J|K|L,over-eager
qwen3-30b-a3b,open-vLLM,black-bean-salad-4,2-2,benign,1.0,-0.2857142857142857,0.2857142857142857,0.0,0,1,7,9,C|J|K|M|N,timid
qwen3-30b-a3b,open-vLLM,black-bean-salad-5,1-1,coupled,1.0,0.0,0.3333333333333333,0.3333333333333333,3,1,9,9,A|B|C|E|H|I|M|N|R,calibrated
qwen3-30b-a3b,open-vLLM,broccoli-salad,1-1,coupled,0.0,0.0,0.0,0.0,0,0,1,14,D,calibrated
qwen3-30b-a3b,open-vLLM,chocolate-cream-cheese-cupcakes,1-1,benign,1.0,-0.4375,0.5,0.0625,1,0,6,16,B|H|N|P,timid
qwen3-30b-a3b,open-vLLM,chocolate-fudge-cookies,3-3,coupled,1.0,-0.6000000000000001,0.8,0.2,2,2,5,10,F|I|M,timid
qwen3-30b-a3b,open-vLLM,classic-greek-salad,2-2,benign,1.0,0.0,0.0,0.0,0,0,1,24,E,calibrated
qwen3-30b-a3b,open-vLLM,classic-potato-salad,1-1,benign,1.0,-0.8223684210526316,0.875,0.05263157894736842,1,4,8,19,A|I,timid
qwen3-30b-a3b,open-vLLM,coconut-tuiles,2-2,benign,1.0,-0.5,0.5,0.0,0,1,2,17,M,timid
qwen3-30b-a3b,open-vLLM,cole-slaw,1-1,benign,1.0,-0.5,0.5,0.0,0,0,6,16,B|D|G,timid
qwen3-30b-a3b,open-vLLM,cranberry-fluff-salad,1-1,benign,1.0,-0.2,0.2,0.0,0,0,5,4,B|F|G|J,timid
qwen3-30b-a3b,open-vLLM,croutons-vinegar-salad,3-3,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,1,3,30,T,timid
qwen3-30b-a3b,open-vLLM,cucumber-slices-with-dill,1-1,benign,1.0,-0.6,0.6,0.0,0,1,5,10,E|J|O,timid
qwen3-30b-a3b,open-vLLM,easy-banana-bread,1-1,benign,1.0,-0.75,0.75,0.0,0,1,4,9,B|F,timid
qwen3-30b-a3b,open-vLLM,easy-cherry-tomato-corn-salad,1-1,benign,1.0,-0.7777777777777778,0.7777777777777778,0.0,0,0,9,10,D|K,timid
qwen3-30b-a3b,open-vLLM,easy-oatmeal-cookies,2-2,benign,1.0,0.043478260869565216,0.0,0.043478260869565216,1,0,1,23,F|I,over-eager
qwen3-30b-a3b,open-vLLM,mexican-wedding-cookies,1-1,benign,0.8,-0.16666666666666666,0.16666666666666666,0.0,0,0,6,6,E|G|H|I|K,timid
qwen3-30b-a3b,open-vLLM,vegan-black-bean-and-sweet-potato-salad,2-2,unknown,1.0,0.058823529411764705,0.0,0.058823529411764705,1,0,2,17,J|L|N,over-eager
qwen3-30b-a3b,open-vLLM,whole-wheat-ginger-snaps,3-3,benign,0.6666666666666666,-0.25,0.25,0.0,0,1,4,22,H|M|T,timid
qwen3-30b-a3b,open-vLLM,afghan-biscuits,4-4,benign,1.0,-0.6,0.6,0.0,0,2,5,18,P|Q,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies,2-2,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,12,D|N,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-2,4-4,benign,1.0,0.0,0.0,0.0,0,0,3,14,E|J|K,calibrated
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-3,3-3,unknown,1.0,-0.25,0.25,0.0,0,0,4,15,I|N|P,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-4,2-2,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,6,A|L,timid
qwen3-30b-a3b,open-vLLM,almond-crescent-cookies-5,4-4,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,12,E|H,timid
qwen3-30b-a3b,open-vLLM,avocado-chicken-salad,3-3,unknown,1.0,0.0,0.0,0.0,0,0,1,12,D,calibrated
qwen3-30b-a3b,open-vLLM,basic-chicken-salad,4-4,benign,1.0,0.0,0.0,0.0,0,0,5,4,B|C|E|F|I,calibrated
qwen3-30b-a3b,open-vLLM,best-brownies,4-4,benign,1.0,0.18181818181818182,0.0,0.18181818181818182,2,0,2,11,B|D|H|N|O,over-eager
qwen3-30b-a3b,open-vLLM,bisquick-shortcake-biscuits,3-3,coupled,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,10,G|K,timid
qwen3-30b-a3b,open-vLLM,black-bean-salad-2,2-2,benign,1.0,-0.5,0.5,0.0,0,0,2,10,A,timid
qwen3-30b-a3b,open-vLLM,black-bean-salad-4,3-3,benign,1.0,-0.25,0.25,0.0,0,0,4,5,F|G|H,timid
qwen3-30b-a3b,open-vLLM,black-bean-salad-5,2-2,coupled,1.0,-0.5,0.5,0.0,0,0,2,7,E,timid
qwen3-30b-a3b,open-vLLM,broccoli-salad,2-2,benign,1.0,0.0,0.0,0.0,0,0,1,13,A,calibrated
qwen3-30b-a3b,open-vLLM,chocolate-cream-cheese-cupcakes,2-2,benign,1.0,-0.5,0.5,0.0,0,0,2,14,K,timid
qwen3-30b-a3b,open-vLLM,chocolate-fudge-cookies,4-4,benign,1.0,-0.5,0.5,0.0,0,0,2,8,E,timid
qwen3-30b-a3b,open-vLLM,classic-greek-salad,3-3,benign,1.0,0.0,0.0,0.0,0,0,2,22,E|K,calibrated
qwen3-30b-a3b,open-vLLM,classic-potato-salad,3-3,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,0,3,15,G,timid
qwen3-30b-a3b,open-vLLM,coconut-tuiles,3-3,benign,0.5,-0.3333333333333333,0.3333333333333333,0.0,0,0,3,14,C|N,timid
qwen3-30b-a3b,open-vLLM,cole-slaw,2-2,benign,0.8,0.0,0.0,0.0,0,0,5,11,C|E|I|J|P,calibrated
gemini-3.5-flash,frontier-agentic,afghan-biscuits,3-3,benign,1.0,0.08695652173913043,0.0,0.08695652173913043,2,0,3,23,I|L|S|U|Y,over-eager
gemini-3.5-flash,frontier-agentic,almond-crescent-cookies,1-1,benign,1.0,0.0,0.0,0.0,0,0,3,15,J|L|N,calibrated
gemini-3.5-flash,frontier-agentic,almond-crescent-cookies-2,3-3,benign,1.0,0.0,0.0,0.0,0,0,4,17,E|I|K|P,calibrated
gemini-3.5-flash,frontier-agentic,almond-crescent-cookies-3,2-2,unknown,1.0,0.0,0.0,0.0,0,0,4,19,C|M|N|Q,calibrated
gemini-3.5-flash,frontier-agentic,almond-crescent-cookies-4,1-1,benign,1.0,-0.16666666666666666,0.16666666666666666,0.0,0,0,6,9,B|D|E|G|L|P,timid
gemini-3.5-flash,frontier-agentic,almond-crescent-cookies-5,3-3,benign,1.0,0.0,0.0,0.0,0,0,4,15,B|D|Q|S,calibrated
gemini-3.5-flash,frontier-agentic,avocado-chicken-salad,2-2,unknown,1.0,-0.14285714285714285,0.14285714285714285,0.0,0,0,7,13,B|H|J|K|R|U,timid
gemini-3.5-flash,frontier-agentic,basic-chicken-salad,1-1,benign,1.0,-0.5666666666666667,0.6666666666666666,0.1,1,1,3,10,D|L,timid
gemini-3.5-flash,frontier-agentic,best-brownies,3-3,benign,1.0,0.0,0.0,0.0,0,0,4,13,B|C|L|R,calibrated
gemini-3.5-flash,frontier-agentic,bisquick-shortcake-biscuits,2-2,benign,1.0,0.0,0.0,0.0,0,0,4,13,A|D|H|M,calibrated
gemini-3.5-flash,frontier-agentic,black-bean-salad-2,1-1,benign,1.0,0.0,0.0,0.0,0,0,7,12,B|H|I|J|L|N|T,calibrated
gemini-3.5-flash,frontier-agentic,black-bean-salad-3,1-1,benign,1.0,0.0,0.0,0.0,0,0,9,1,A|B|C|E|F|G|I|J|L,calibrated
gemini-3.5-flash,frontier-agentic,black-bean-salad-4,2-2,benign,1.0,0.0,0.0,0.0,0,0,7,9,C|G|J|K|M|N|R,calibrated
gemini-3.5-flash,frontier-agentic,black-bean-salad-5,1-1,coupled,1.0,0.0,0.0,0.0,0,0,9,9,B|E|H|I|K|N|O|R|S,calibrated
gemini-3.5-flash,frontier-agentic,broccoli-salad,1-1,coupled,1.0,0.0,0.0,0.0,0,0,1,14,I,calibrated
gemini-3.5-flash,frontier-agentic,chocolate-cream-cheese-cupcakes,1-1,benign,1.0,0.0,0.0,0.0,0,0,6,16,C|D|H|J|N|P,calibrated
gemini-3.5-flash,frontier-agentic,chocolate-fudge-cookies,3-3,coupled,1.0,0.0,0.0,0.0,0,0,5,10,E|M|O|P|R,calibrated
gemini-3.5-flash,frontier-agentic,classic-greek-salad,2-2,benign,1.0,0.0,0.0,0.0,0,0,1,24,E,calibrated
gemini-3.5-flash,frontier-agentic,classic-potato-salad,1-1,benign,1.0,-0.125,0.125,0.0,0,1,8,19,A|L|R|T|U|V|X,timid
gemini-3.5-flash,frontier-agentic,coconut-tuiles,2-2,benign,1.0,0.058823529411764705,0.0,0.058823529411764705,1,0,2,17,M|Q|R,over-eager
gemini-3.5-flash,frontier-agentic,cole-slaw,1-1,benign,1.0,-0.3333333333333333,0.3333333333333333,0.0,0,0,6,16,B|D|G|U,timid
gemini-3.5-flash,frontier-agentic,cranberry-fluff-salad,1-1,benign,1.0,0.0,0.0,0.0,0,0,5,4,B|F|G|J|K,calibrated
gemini-3.5-flash,frontier-agentic,croutons-vinegar-salad,3-3,benign,1.0,-0.6666666666666666,0.6666666666666666,0.0,0,1,3,30,T,timid
gemini-3.5-flash,frontier-agentic,cucumber-slices-with-dill,1-1,benign,1.0,-0.2,0.2,0.0,0,0,5,10,D|E|I|J|O,timid
gemini-3.5-flash,frontier-agentic,easy-banana-bread,1-1,benign,1.0,-0.75,0.75,0.0,0,1,4,9,B,timid
gemini-3.5-flash,frontier-agentic,easy-cherry-tomato-corn-salad,1-1,benign,1.0,0.0,0.0,0.0,0,0,9,10,D|F|J|K|L|O|Q|R|U,calibrated
gemini-3.5-flash,frontier-agentic,easy-oatmeal-cookies,2-2,benign,,-0.9565217391304348,1.0,0.043478260869565216,1,0,1,23,I,timid
gemini-3.5-flash,frontier-agentic,mexican-wedding-cookies,1-1,benign,1.0,-0.16666666666666666,0.16666666666666666,0.0,0,0,6,6,A|E|G|H|I|L,timid
